axis	canonical_work_identifier	official_paper_or_artifact	official_project_or_fixed_commit	evaluated_object	domain_and_interaction	agent_visible	evaluator_visible	gold	output_labels	error_definition	evidence_and_repair	strongest_overlap_or_disconfirmation	direct_transfer_to_profilitable	blocked_claim	residual_gap	evidence_boundary	retrieved_on
2_evolving_intent	AgentChangeBench	https://arxiv.org/abs/2510.18170v1	https://github.com/Maniktherana/AgentChangeBench/commit/22f2cec4ac0ec6c4d68b2fab856da78054c8980b	Tool agent under goal shift	multi-turn persona-driven goal changes	conversation; tools; current task cues	trajectory and final behavior	change sequence and task outcome	TSR; tool-use efficiency; redundancy; recovery time	Delayed or failed adaptation to goal shift	Change-event outcomes and recovery timing; no source witness or localized patch	Directly measures recovery timing after changing goals	Use recovery-time metric and change timing as external controls	first goal-shift recovery-time benchmark	No per-turn active clause graph aligned to table state or source witness	PAPER CLAIM plus official fixed code; exact 315-to-2,835 construction relation should be rechecked before quoting	2026-08-26
2_evolving_intent	InterruptBench	https://arxiv.org/abs/2604.00892v1	https://github.com/HenryPengZou/InterruptBench/commit/17da111e4858b93c0cab1d88f85e1735fbd1d423	Web agent under interruption	addition, revision, and retraction over persistent web state	conversation; web state; tools	trajectory; final web state	WebArena-Lite task verifier	final success and action overhead	Failure to incorporate interruption or avoid obsolete work	Replay with persistent state; no localized source-error repair	Dynamic requirement changes with persistent environment state are already tested	Reuse interruption types and action-overhead metric	first interruption-aware persistent-state benchmark	No table-specific intent-state alignment, source error, or row/cell witness	PAPER CLAIM plus official fixed code	2026-08-26
3_failure_localization	AgentRx	https://arxiv.org/abs/2602.02475v1	https://github.com/microsoft/AgentRx/commit/f228165bfec60a801fd5fedd9d8ffe0f9de0c69d	External trajectory diagnosis system	general tool, web, file, API, and multi-agent failures	not applicable to diagnosed subject	task; schemas/policies; full messages, calls, outputs, and observable environment state	human labels for 115 failed trajectories	critical step; category; evidence/rationale	First failure from which the agent did not recover; recovered errors retained but not critical	Generated guarded constraints; programmatic/semantic checks; no executed repair	Directly covers constraint-guided evidence-backed first-unrecoverable localization	Normalize ProfiliTable dialogue/code/ordinary observations to AgentRx IR; compile intent clauses into guarded table invariants	first constraint-guided first-unrecoverable agent failure localization	No table-specific row/cell/statistic witness, evolving intent, or executable repair	PAPER CLAIM plus official fixed code and data	2026-08-26
3_failure_localization	FALAT	https://arxiv.org/abs/2606.00765v1	DATA_INSUFFICIENT_no_official_code_found	External multi-agent failure localizer	general multi-agent trajectories	failed trajectory context	task; roles; tools; reasoning/action/observation trace; expected-behavior prior	expected outcome in formalization; operational oracle visibility is method-dependent	responsible agent and decisive step	Earliest minimal decisive set whose counterfactual correction recovers expected outcome	Typed dependency graph with propagation/correction/error-shift edges; no executed repair	Directly covers dependency-guided source-versus-symptom and counterfactual sufficiency	Run a reference-rich upper bound and a fair reference-hidden contract/property adaptation	first dependency-guided decisive-step or source-propagation diagnosis	No executable table lineage, real replay, evolving intent, or multiple-root protocol	PAPER CLAIM; code/data and exact oracle boundary remain DATA_INSUFFICIENT	2026-08-26
3_failure_localization	TELBench and DRIFT	https://arxiv.org/abs/2606.02060v2	https://github.com/NJU-LINK/DRIFT/commit/1280b373b5af1954bf0577bf6d58b38e1bce341e	Span-level research-trajectory localizer	deep-research trajectories	question and ordinary research tools	ordered semantic spans and claim ledger	human harmful-span labels for 1,000 cases	harmful spans and earliest harmful error	First consequential unsupported/incorrect commitment; recovered exploration and tool noise excluded	Claim-support/dependency ledger; no repair	Text-only claim dependencies may recover much of the proposed diagnosis signal	Serialize ProfiliTable dialogue/code as spans, then run no-state and state-augmented variants	first harmful-span benchmark or claim-dependency process audit	No executable table state, row/cell witness, or transformation replay	PAPER CLAIM plus official fixed code; released dataset is encrypted/access-controlled per project instructions	2026-08-26
3_failure_localization	HINTBench	https://arxiv.org/abs/2604.13954v1	https://anonymous.4open.science/r/HINTBench-B841	Trajectory risk detector	long-horizon banking, travel, and enterprise trajectories	state/action/observation trace	full trace and prefix	annotated safe/risky labels and risk steps	safe/risky; risk steps; constraint type	First risk action under Goal, Factual, Capability, Procedural, or State constraints	State constraint includes false success, stale-state judgment, and duplicate execution; no repair	Explicit state constraints and first-risk localization already exist	Map table false-completion/stale-state/duplicate-action cases to its label space	first state-constraint trajectory audit or first benign-trajectory state deviation	State is textual/synthetic, not replayable table state; no evolving intent or semantic repair	PAPER CLAIM; fixed snapshot but no Git commit; boundary uncertainty is acknowledged	2026-08-26
3_failure_localization	TrajDebug and TrajErrBench	https://arxiv.org/abs/2608.06346v1	https://github.com/THU-KEG/TrajDebug/commit/7acc96846935755dc5915a1ef1580c8782548e2c	Trajectory error-lifecycle localizer	customer-service tools and software engineering	failed trajectory and failure signal	full failed trajectory without success trace or gold outcome	three-annotator critical-error labels	critical step; reference object; resolved/active and terminal-footprint lifecycle	Earliest evidence-sufficient error responsible for final failure; later-corrected errors separated	Quoted commitment plus violated task/history/environment reference; feedback-driven rerun, not localized artifact patch	Directly covers recovered/persistent lifecycle and terminal-footprint filtering	Use intent clause/table/column/row/statistic as reference objects; retain four lifecycle states	first recovered-versus-persistent lifecycle or terminal-footprint critical filtering	No executable table-state replay, cell witness, or evolving-intent alignment	PAPER CLAIM plus official fixed detector/data	2026-08-26
4_provenance	DataTrace	DATA_INSUFFICIENT_paper_coming_soon	https://github.com/HKUSTDial/datatrace/commit/48a89e59b4aeef5a01d5ed68c1a1b4d4dc84a411	Database root-cause and repair agent	database faults in runnable environments	inspection, profiling, lineage, and SQL tools	artifact graph; observations; candidate cause/evidence/fix	injected faulty object; reference evidence path; repaired outputs/tests	RC@1; grounded RC@1; evidence precision/recall/F1; Fix	Controlled faulty object causing a remote observable symptom	Typed evidence path and executable repair tests	Directly covers evidence-path-grounded data root cause and real repair	Map intent clauses, code ops, checkpoints, statistics, and tests to artifact nodes	first evidence-grounded database/table root-cause-and-repair benchmark	Static intent, controlled single fault, object-level path; no natural agent lifecycle or requirement revision	CODE OBSERVATION only; no formal paper, peer-reviewed claims, or confirmed human-annotation protocol	2026-08-26
4_provenance	mlinspect	https://doi.org/10.1007/s00778-021-00726-w	https://github.com/stefan-grafberger/mlinspect/commit/c2207ef058e5fb28cc74c72c7c9f3deed04fc639	Instrumented ML/data pipeline	pandas and scikit-learn pipelines	developer code and selected inspections	operator DAG; tuple lineage; intermediate annotations	user-specified checks, not a universal expected output	check results; operator/source location; intermediate distributions	Check violation at an instrumented operator	Executable lineage and distribution witness; no automatic repair	Intermediate DAG, lineage, and state checks for table code already exist	Instrument ProfiliTable-generated pandas where API coverage permits	first automatic table-code DAG/lineage/state inspection	Fixed intent, partial API coverage, no agent trajectory gold or recovery	PAPER CLAIM plus current official fixed code; API coverage must be measured on selected tasks	2026-08-26
4_provenance	BigDebug	https://doi.org/10.1145/2884781.2884813	https://github.com/UCLA-SEAL/BigDebug/commit/3cf8723fd37c8a962897845b370cc8107ddff53e	Interactive Spark debugger	big-data runtime	program, data, developer breakpoints/watchpoints	runtime records; forward/backward provenance; watchpoint outcomes	crash or developer predicate	crash-inducing record and provenance	Runtime failure or watchpoint violation	Record inspection, quick fix, and selective replay	Row-level witness/provenance and downstream replay predate this project	Reuse record lineage and selective replay concepts where pandas/table transformations can be instrumented	first row-level intermediate witness, provenance, or local replay debugger	No natural-language intent, benchmark labels, or autonomous semantic repair	PAPER CLAIM plus official fixed Spark fork	2026-08-26
4_provenance	BigSift	https://doi.org/10.1145/3127479.3131624	https://github.com/UCLA-SEAL/BigSift/commit/59cde688bcdef267ce9a56d3f81f5cc1c003755f	Automated data-intensive debugger	Spark batch pipelines	program; dataset; user failure oracle	provenance and repeated oracle executions	user-defined executable failure oracle	minimal failure-inducing input records	Subset that preserves the same oracle failure	Delta debugging plus provenance; no semantic patch	Executable-oracle minimal row witnesses already exist	Use a clause checker as oracle to minimize triggering rows/cells	first executable-oracle minimal row witness	Static batch pipeline, explicit oracle, no evolving intent or recovery	PAPER CLAIM plus official fixed repository	2026-08-26
5_contract_verification	Lean4Agent	https://arxiv.org/abs/2606.06523v2	https://github.com/RickySkywalker/Lean4Agent/commit/e6a78cbe2c8b49e6784a4adcb4f682ed36de0f9a	Workflow verifier and evolver	general agent workflows and trajectories	workflow/task environment	read/write variables; natural-language nodes; pre/post state; predicates	benchmark task outcome plus generated/spec predicates	verification pass/fail and violated predicate	Structural, static semantic, or trajectory predicate violation	Lean/Python/LLM validation and local workflow rewrite/rerun	Formal workflow/state predicate verification already exists	Compile table transforms and clause checks into its predicate model as a high-cost conceptual baseline	first formal workflow/trajectory semantic verifier	Dynamic intent, table clause witness, contract-error labels, and natural trace gold	PAPER CLAIM: L2 relies on an explicit LLMExec assumption and L3 is not uniformly a Lean proof; official fixed code is MIT	2026-08-26
5_contract_verification	AgentSpec	https://arxiv.org/abs/2503.18666v3	https://github.com/haoyuwang99/AgentSpec/commit/e6fa3902e2cfb9681f454b355691b771f70543f8	Runtime policy enforcer	general tool agents	user input; pending action; tool context	trajectory, pending action, intermediate steps, DSL rules	specified rules and safety/reliability benchmark outcomes	rule trigger/predicate verdict	Violation of a declared trigger/predicate rule	Stop, inspect, invoke action, or self-examine; no semantic-minimal guarantee	Custom runtime constraints at action boundaries already exist	Encode active table-intent clauses as action-boundary rules	first customizable runtime constraint DSL or pre-action safeguard	Cannot see semantic effects hidden inside generated code; rule completeness remains external	PAPER CLAIM plus official fixed LangChain integration	2026-08-26
5_contract_verification	VIGIL behavioral specifications	https://arxiv.org/abs/2606.26524v1	DATA_INSUFFICIENT_no_verifiable_official_code_or_labels	Runtime trace enforcer	agent skills and tool events	skill description; operator constraints; tool access	typed finite event trace; policies; value flow	document-derived and human-validated policies	policy satisfiable/violated plus offending invocation/value/order	Finite-trace safety-pattern or SMT violation	Unsat-core witness and pending-action blocking; no verified repair	Trace-grounded SMT/value-flow enforcement already exists	Use as a specification-level temporal/value-flow baseline if no runnable release appears	first trace-grounded SMT/value-flow or intermediate-evidence enforcement	Unlogged internal table state remains invisible; no table repair	PAPER CLAIM only; official implementation/data release is DATA_INSUFFICIENT	2026-08-26
5_contract_verification	RunAgent	https://arxiv.org/abs/2605.00798v1	DATA_INSUFFICIENT_no_author_official_code_found	Constraint-guided plan executor	general and scientific tasks	task; plan; tools; facts; optional constraints	steps; derived atomic constraints; execution results	final EM/accuracy and supplied/derived constraints	step constraint verdict	Format, semantic-relation, or constraint failure	Retry then fallback continuation; not a verified semantic repair	Automatic task-to-constraint derivation and stepwise checking already exist	Use derived constraints as a weak no-gold contract baseline	first natural-language task constraint induction and stepwise execution	LLM-derived constraints/verifiers can be wrong; no source/recovery gold	PAPER CLAIM; reproducible official code is DATA_INSUFFICIENT	2026-08-26
5_contract_verification	Task Shield	https://aclanthology.org/2025.acl-long.1435/	DATA_INSUFFICIENT_no_author_official_code_found	Task-alignment guard	general tool agents under indirect prompt injection	multi-turn user messages; tool environment	user-task set; candidate instruction/action; trajectory	AgentDojo utility and attack-success outcome	action contribution/alignment score	Actionable instruction does not contribute to active user goal	Feedback rewrite and tool-call block	Active user-task/action alignment is already evaluated	Use as active-intent-only, no-table-state baseline	first continuous action-to-user-goal alignment	Does not check whether a table action had the correct data effect	PAPER CLAIM; third-party reproductions are not official evidence	2026-08-26
5_contract_verification	ContractSkill	https://arxiv.org/abs/2603.20340v3	https://github.com/underfitting-lu/contractskill/commit/c22541ab1d5f0c8c71a74a3d2d03673b1e99d010	Contract-based web skill verifier/repairer	multimodal web agents	goal; browser state; skill contract	URL/DOM/text/form/state changes and step assertions	benchmark task verifier and page state	step index; error code; local trace evidence	Failed precondition/postcondition/recovery/termination assertion	Localized selector/precondition/postcondition/recovery/argument patch ranked by success, cost, and edit size	Executable contract, deterministic step verification, and localized repair already exist	Adapt contract and patch loop to table clauses only if the capability pilot establishes need	first executable contract plus deterministic step verifier plus localized repair	Table semantics, evolving intent, and independent source/recovery annotations	PAPER CLAIM plus minimal official fixed release; minimal means restricted edit objective, not a proof of semantic minimality	2026-08-26
5_contract_verification	CausalFlow	https://arxiv.org/abs/2605.25338v1	DATA_INSUFFICIENT_no_author_official_code_found	Counterfactual trajectory repair/localizer	general reasoning, coding, QA, and browsing	failed task trajectory	structured trace; generated alternative intervention; downstream rerun	final answer/tests; repair prompt may include gold reference	causal responsibility and contrastive repair	A proposed intervention at a step flips the terminal verifier	Counterfactual suffix rerun; token-edit-ranked repair	Counterfactual attribution and contrastive repair already exist	Use only a no-gold variant with real table dependencies and independently scored causal labels	first counterfactual step attribution or minimal contrastive repair	Proposal-set dependence, dense-prefix dependence, and gold-reference sensitivity remain	PAPER CLAIM; no official code found and gold-reference removal materially changes the method	2026-08-26
5_contract_verification	AJ-Bench	https://aclanthology.org/2026.findings-acl.1269/	https://github.com/aj-bench/AJ-Bench/commit/e93f3cdc2aeadda11176526ac46cc4c2c9614aa9	Environment-aware agent judge	data science, GUI including Excel, and search	judged agent trajectory/environment	task; trajectory; initial/final environment; tools; screenshots/accessibility tree	verifier scripts, golden files/rules, and human review	item/trajectory correctness across acquisition, state, and process verification	Wrong outcome or unsupported judge decision	Active evidence acquisition; no repair	State-aware judging and selective environment evidence already include Excel	Use no-tool, oracle-evidence, and budgeted-evidence judge controls	first spreadsheet state-aware judge or selective evidence-acquisition benchmark	No dynamic contract, first/source/propagation/recovery, or clause witness labels	PAPER CLAIM plus official MIT code/data at fixed commit	2026-08-26
5_contract_verification	Metamorphic testing	https://doi.org/10.1109/TSE.2013.46	DATA_INSUFFICIENT_not_a_single_project_commit	System/evaluator under test	general software and data transformations	base and transformed inputs	paired/grouped execution outputs	metamorphic relation rather than full expected output	relation satisfied/violated	Violation of an expert-validated input-output relation	No repair; partial oracle only	Transformation consistency is an established way to test without full gold	Validate evaluator coverage with row-order invariance, reversible transforms, scaling, and applicable monotonicity relations	first transformation-consistency evaluator for tables	A relation pass does not prove correctness; an invalid relation creates false failures	PAPER CLAIM: each relation needs an applicability contract and validation on human-gold cases	2026-08-26
6_methodology	Construct-validity standards	https://www.testingstandards.net/uploads/7/6/6/4/76643089/standards_2014edition.pdf	DATA_INSUFFICIENT_not_a_code_artifact	Benchmark score interpretation	general assessment	benchmark task and system response	observations, labels, metrics, and intended use	argument connecting construct to evidence	score plus validity evidence	Construct underrepresentation or construct-irrelevant variance	No repair	A new label set is not evidence that the intended capability is measured	Write construct-to-observation-to-label-to-metric maps and negative controls before scaling	claim that benchmark score directly measures self-awareness or root cause without validity evidence	ProfiliTable constructs must remain separate: execution, intent, detection, localization, recovery, repair	PAPER CLAIM from the 2014 Standards; application here is INFERENCE	2026-08-26
6_methodology	Behavioral and mutation coverage	https://aclanthology.org/2020.acl-main.442/;https://doi.org/10.1016/bs.adcom.2018.03.015	DATA_INSUFFICIENT_multiple_method_sources	Evaluator/benchmark test suite	NLP behavior and software testing	test inputs	capability cells, mutants, and checker outcomes	expected behavior or mutation oracle	per-cell pass/fail and mutation detection	Uncovered behavior or surviving non-equivalent mutant	No repair	Aggregate accuracy can hide evaluator blind spots	Build clause-family by evidence-source by test-type coverage matrix; keep invalid/equivalent mutants separate	claim of evaluator completeness from a single aggregate score	Coverage evidence supports scope, not universal correctness	PAPER CLAIM from CheckList and mutation-testing survey; table adaptation is INFERENCE	2026-08-26
6_methodology	Annotation reliability	https://aclanthology.org/J08-4004/	DATA_INSUFFICIENT_not_a_code_artifact	Human annotation protocol	computational-linguistic annotation	frozen annotation unit and labels	independent annotations and adjudication	adjudicated labels and uncertainty	raw agreement; chance-corrected coefficient; per-label confusion	Annotator disagreement or boundary ambiguity	Adjudication; no system repair	First-error and source labels may be unstable even when definitions sound precise	Allow AMBIGUOUS and INSUFFICIENT_EVIDENCE; report adjudication rate and confusion	claim of reliable gold from majority vote alone	Reliability is not construct validity	PAPER CLAIM from Artstein and Poesio; coefficient choice depends on label scale	2026-08-26
6_methodology	Mutants versus real faults	https://doi.org/10.1145/2635868.2635929	DATA_INSUFFICIENT_not_a_code_artifact	Fault-based benchmark design	software faults	program and fault variants	test outcomes and real/mutant fault relation	real faults and mutants	coupling/detection comparison	Synthetic fault fails to represent a real failure	No repair	Strong mutant performance does not establish ecological validity on natural failures	Keep controlled and natural-failure tracks separate; derive operators from observed failures	claim that synthetic results generalize to natural table-agent errors	Some real faults are not coupled to common mutants	PAPER CLAIM from FSE 2014; ProfiliTable extension is INFERENCE	2026-08-26
6_methodology	Contamination and leakage	https://aclanthology.org/2024.naacl-long.482/;https://proceedings.mlr.press/v267/sun25t.html	DATA_INSUFFICIENT_multiple_method_sources	Benchmark split and model evaluation	LLM benchmarks	training/evaluation artifacts	items, templates, formulas, schemas, lineage, model outputs	grouped holdout and contamination status	clean/contaminated performance and uncertainty	Exact or near-duplicate exposure across train/test or model pretraining	No repair	Random case splits and paraphrase do not by themselves prevent leakage	Group by workbook/template/source trace/task family; keep temporal/private holdout; publish item status	claim of generalization from un-audited random splits	Private or temporal items reduce but do not eliminate contamination uncertainty	PAPER CLAIM from NAACL 2024 and ICML 2025; specific grouping policy is INFERENCE	2026-08-26
6_methodology	Difficulty and saturation	https://aclanthology.org/2021.acl-long.92/	DATA_INSUFFICIENT_not_a_code_artifact	Benchmark item set	general NLP evaluation	responses from systems spanning ability levels	item-response patterns	observed responses across systems	item difficulty/discrimination and uncertainty	Ceiling, floor, or non-discriminating item	Add versioned items rather than silently replace	A hard-looking benchmark may not separate systems	Pilot across ability levels; stratify by clause family; mark saturated slices	claim of useful ranking from ceiling-level or overlapping results	Stage 0 is construct validation, not stable ranking	PAPER CLAIM on IRT-based test-set comparison; six-week application is INFERENCE	2026-08-26
6_methodology	Dataset provenance and licensing	https://arxiv.org/abs/1803.09010v8;https://spdx.github.io/spdx-spec/	DATA_INSUFFICIENT_multiple_governance_sources	Dataset/release process	general datasets and software artifacts	source artifacts and terms	URLs, commits, licenses, derivation chain, versions	versioned datasheet and redistribution decision	provenance/license completeness	Unknown origin, transformation, or redistribution right	Exclude or distribute metadata/generator only	Public accessibility is not a redistribution license	Record source commit/date, original license/ToU, artifact identity, transformations, annotator/tool/model versions, maintainer, and errata	claim that a benchmark is reproducible or distributable without provenance records	License-unknown source data may be auditable locally but not releasable	PAPER CLAIM from Datasheets and SPDX; case-level release decision remains a legal/operational audit, not settled here	2026-08-26
